1710,11510,16654,16531,16274,16138,15861,15731,15473,15230,14917,14571,14448,14232,13926,13647,13438,13045,12757,12375,12172,11695,11367,11044,10476,10125,9473,8900,8301,3021,3167,6854,6484,6205,5774,5586,5363,5108,4904,4745,4250,3544,3046,2739,2433,1671,1459,964,809,304,0,195,427,673,988,1124,1501,1755,2125,2312,3747,4172,4897,5449,5849,6420,6745,7085,7572,7730,8086,8518,8748,8976,9326,9554,9724,9930,10277,10519,10842,11054,11230
1711,11315,16849,16726,16469,16333,16056,15926,15668,15425,15112,14766,14643,14427,14121,13842,13633,13240,12952,12570,12367,11890,11562,11239,10671,10320,9668,9095,8496,2826,2972,7049,6679,6400,5969,5781,5558,5303,5099,4940,4445,3739,3241,2934,2628,1866,1654,1159,1004,499,195,0,232,478,793,929,1306,1560,1930,2117,3552,3977,4702,5254,5654,6225,6550,6890,7377,7535,7891,8323,8553,8781,9131,9359,9529,9735,10082,10324,10647,10859,11035
1769,11083,17081,16958,16701,16565,16288,16158,15900,15657,15344,14998,14875,14659,14353,14074,13865,13472,13184,12802,12599,12122,11794,11471,10903,10552,9900,9327,8728,2594,2740,7281,6911,6632,6201,6013,5790,5535,5331,5172,4677,3971,3473,3166,2860,2098,1886,1391,1236,731,427,232,0,246,561,697,1074,1328,1698,1885,3320,3745,4470,5022,5422,5993,6318,6658,7145,7303,7659,8091,8321,8549,8899,9127,9297,9503,9850,10092,10415,10627,10803
1770,10837,17327,17204,16947,16811,16534,16404,16146,15903,15590,15244,15121,14905,14599,14320,14111,13718,13430,13048,12845,12368,12040,11717,11149,10798,10146,9573,8974,2348,2494,7527,7157,6878,6447,6259,6036,5781,5577,5418,4923,4217,3719,3412,3106,2344,2132,1637,1482,977,673,478,246,0,315,451,828,1082,1452,1639,3074,3499,4224,4776,5176,5747,6072,6412,6899,7057,7413,7845,8075,8303,8653,8881,9051,9257,9604,9846,10169,10381,10557
1771,10522,17642,17519,17262,17126,16849,16719,16461,16218,15905,15559,15436,15220,14914,14635,14426,14033,13745,13363,13160,12683,12355,12032,11464,11113,10461,9888,9289,2033,2179,7842,7472,7193,6762,6574,6351,6096,5892,5733,5238,4532,4034,3727,3421,2659,2447,1952,1797,1292,988,793,561,315,0,136,513,767,1137,1324,2759,3184,3909,4461,4861,5432,5757,6097,6584,6742,7098,7530,7760,7988,8338,8566,8736,8942,9289,9531,9854,10066,10242
1772,10386,17778,17655,17398,17262,16985,16855,16597,16354,16041,15695,15572,15356,15050,14771,14562,14169,13881,13499,13296,12819,12491,12168,11600,11249,10597,10024,9425,1897,2043,7978,7608,7329,6898,6710,6487,6232,6028,5869,5374,4668,4170,3863,3557,2795,2583,2088,1933,1428,1124,929,697,451,136,0,377,631,1001,1188,2623,3048,3773,4325,4725,5296,5621,5961,6448,6606,6962,7394,7624,7852,8202,8430,8600,8806,9153,9395,9718,9930,10106
1773,10009,18155,18032,17775,17639,17362,17232,16974,16731,16418,16072,15949,15733,15427,15148,14939,14546,14258,13876,13673,13196,12868,12545,11977,11626,10974,10401,9802,1520,1666,8355,7985,7706,7275,7087,6864,6609,6405,6246,5751,5045,4547,4240,3934,3172,2960,2465,2310,1805,1501,1306,1074,828,513,377,0,254,624,811,2246,2671,3396,3948,4348,4919,5244,5584,6071,6229,6585,7017,7247,7475,7825,8053,8223,8429,8776,9018,9341,9553,9729
1774,9755,18409,18286,18029,17893,17616,17486,17228,16985,16672,16326,16203,15987,15681,15402,15193,14800,14512,14130,13927,13450,13122,12799,12231,11880,11228,10655,10056,1266,1412,8609,8239,7960,7529,7341,7118,6863,6659,6500,6005,5299,4801,4494,4188,3426,3214,2719,2564,2059,1755,1560,1328,1082,767,631,254,0,370,557,1992,2417,3142,3694,4094,4665,4990,5330,5817,5975,6331,6763,6993,7221,7571,7799,7969,8175,8522,8764,9087,9299,9475
1220,9385,18779,18656,18399,18263,17986,17856,17598,17355,17042,16696,16573,16357,16051,15772,15563,15170,14882,14500,14297,13820,13492,13169,12601,12250,11598,11025,10426,896,1042,8979,8609,8330,7899,7711,7488,7233,7029,6870,6375,5669,5171,4864,4558,3796,3584,3089,2934,2429,2125,1930,1698,1452,1137,1001,624,370,0,187,1622,2047,2772,3324,3724,4295,4620,4960,5447,5605,5961,6393,6623,6851,7201,7429,7599,7805,8152,8394,8717,8929,9105
1221,9198,18966,18843,18586,18450,18173,18043,17785,17542,17229,16883,16760,16544,16238,15959,15750,15357,15069,14687,14484,14007,13679,13356,12788,12437,11785,11212,10613,709,855,9166,8796,8517,8086,7898,7675,7420,7216,7057,6562,5856,5358,5051,4745,3983,3771,3276,3121,2616,2312,2117,1885,1639,1324,1188,811,557,187,0,1435,1860,2585,3137,3537,4108,4433,4773,5260,5418,5774,6206,6436,6664,7014,7242,7412,7618,7965,8207,8530,8742,8918
1224,7763,20401,20278,20021,19885,19608,19478,19220,18977,18664,18318,18195,17979,17673,17394,17185,16792,16504,16122,15919,15442,15114,14791,14223,13872,13220,12647,12048,726,580,10601,10231,9952,9521,9333,9110,8855,8651,8492,7997,7291,6793,6486,6180,5418,5206,4711,4556,4051,3747,3552,3320,3074,2759,2623,2246,1992,1622,1435,0,425,1150,1702,2102,2673,2998,3338,3825,3983,4339,4771,5001,5229,5579,5807,5977,6183,6530,6772,7095,7307,7483
1225,7338,20826,20703,20446,20310,20033,19903,19645,19402,19089,18743,18620,18404,18098,17819,17610,17217,16929,16547,16344,15867,15539,15216,14648,14297,13645,13072,12473,1151,1005,11026,10656,10377,9946,9758,9535,9280,9076,8917,8422,7716,7218,6911,6605,5843,5631,5136,4981,4476,4172,3977,3745,3499,3184,3048,2671,2417,2047,1860,425,0,725,1277,1677,2248,2573,2913,3400,3558,3914,4346,4576,4804,5154,5382,5552,5758,6105,6347,6670,6882,7058
1775,6613,21551,21428,21171,21035,20758,20628,20370,20127,19814,19468,19345,19129,18823,18544,18335,17942,17654,17272,17069,16592,16264,15941,15373,15022,14370,13797,13198,1876,1730,11751,11381,11102,10671,10483,10260,10005,9801,9642,9147,8441,7943,7636,7330,6568,6356,5861,5706,5201,4897,4702,4470,4224,3909,3773,3396,3142,2772,2585,1150,725,0,552,952,1523,1848,2188,2675,2833,3189,3621,3851,4079,4429,4657,4827,5033,5380,5622,5945,6157,6333
